,p,q,f,out
0,0.08608608608608609,0.5565565565565566,0.2222222222222222,0.32124874118831825
1,0.056056056056056056,0.5135135135135135,0.4444444444444444,0.28449144008056393
2,0.982982982982983,0.3893893893893894,1.0,0.6883182275931521
3,0.6206206206206206,0.42542542542542544,0.3333333333333333,0.5241691842900302
4,0.9169169169169169,0.2852852852852853,1.0,0.6027190332326284
5,0.5215215215215215,0.6656656656656657,1.0,0.595166163141994
6,0.3433433433433433,0.9009009009009009,0.3333333333333333,0.6238670694864048
7,0.07807807807807808,0.7027027027027027,0.2222222222222222,0.3907351460221551
8,0.7087087087087087,0.24024024024024024,0.1111111111111111,0.47532729103726085
9,0.1891891891891892,0.14114114114114115,1.0,0.16414904330312186
10,0.07107107107107107,0.5985985985985987,0.8888888888888888,0.33484390735146025
11,0.6096096096096096,0.12512512512512514,0.6666666666666666,0.3675730110775428
12,0.6656656656656657,0.35035035035035034,0.3333333333333333,0.5090634441087614
13,0.024024024024024024,0.8558558558558559,0.8888888888888888,0.4405840886203424
14,0.8528528528528528,0.5195195195195195,0.6666666666666666,0.6883182275931521
15,0.4854854854854855,0.07307307307307308,0.3333333333333333,0.27895266868076535
16,0.7367367367367368,0.6476476476476476,0.6666666666666666,0.6943605236656596
17,0.7177177177177178,0.3963963963963964,1.0,0.5584088620342397
18,0.4924924924924925,0.8648648648648649,0.6666666666666666,0.6807653575025177
19,0.34434434434434436,0.7097097097097097,0.2222222222222222,0.5281973816717019
20,0.8358358358358359,0.11311311311311312,0.3333333333333333,0.47532729103726085
21,0.6086086086086087,0.974974974974975,0.0,0.7945619335347432
22,0.5425425425425425,0.5025025025025025,0.5555555555555556,0.5236656596173213
23,0.8818818818818819,0.27627627627627627,0.8888888888888888,0.580563947633434
24,0.20520520520520522,0.3123123123123123,0.4444444444444444,0.2583081570996979
25,0.5915915915915916,0.94994994994995,0.0,0.7734138972809668
26,0.7057057057057057,0.32232232232232233,0.7777777777777778,0.5151057401812689
27,0.8678678678678678,0.93993993993994,0.6666666666666666,0.9073514602215509
28,0.8318318318318318,0.8448448448448449,0.4444444444444444,0.8413897280966768
29,0.4144144144144144,0.44544544544544545,0.8888888888888888,0.43051359516616317
30,0.08208208208208208,0.4624624624624625,0.2222222222222222,0.2719033232628399
31,0.5075075075075075,0.5895895895895896,0.1111111111111111,0.5498489425981873
32,0.7937937937937938,0.8358358358358359,0.1111111111111111,0.8177240684793555
33,0.91991991991992,0.7767767767767768,0.5555555555555556,0.851460221550856
34,0.972972972972973,0.6386386386386387,0.0,0.8086606243705942
35,0.037037037037037035,0.3863863863863864,0.6666666666666666,0.2109768378650554
36,0.1111111111111111,0.7887887887887888,0.6666666666666666,0.45065458207452164
37,0.06706706706706707,0.6696696696696697,0.7777777777777778,0.3685800604229607
38,0.44744744744744747,0.14514514514514515,0.0,0.29607250755287007
39,0.5825825825825826,0.7807807807807807,0.1111111111111111,0.6837865055387714
40,0.12412412412412413,0.6216216216216216,0.7777777777777778,0.3731117824773414
41,0.08308308308308308,0.3923923923923924,0.4444444444444444,0.23716012084592145
42,0.24124124124124124,0.9429429429429429,1.0,0.5936555891238671
43,0.9229229229229229,0.06006006006006006,0.8888888888888888,0.49244712990936557
44,0.6776776776776777,0.9209209209209209,0.0,0.8021148036253777
45,0.5345345345345346,0.8498498498498499,0.3333333333333333,0.6943605236656596
46,0.7607607607607607,0.003003003003003003,0.0,0.3821752265861027
47,0.35135135135135137,0.7507507507507507,0.5555555555555556,0.5523665659617322
48,0.7397397397397397,0.5735735735735735,0.3333333333333333,0.6586102719033232
49,0.1001001001001001,0.2062062062062062,0.4444444444444444,0.15206445115810674
50,0.8618618618618619,0.48148148148148145,0.2222222222222222,0.6737160120845922
51,0.4014014014014014,0.4824824824824825,0.7777777777777778,0.4425981873111782
52,0.958958958958959,0.13113113113113112,0.7777777777777778,0.5463242698892246
53,0.17417417417417416,0.40540540540540543,0.8888888888888888,0.2895266868076536
54,0.8298298298298298,0.8578578578578578,0.7777777777777778,0.8469284994964753
55,0.8668668668668669,0.12212212212212212,0.5555555555555556,0.4954682779456193
56,0.943943943943944,0.2682682682682683,0.0,0.607754279959718
57,0.7587587587587588,0.33733733733733734,1.0,0.5493454179254783
58,0.960960960960961,0.002002002002002002,0.7777777777777778,0.4823766364551863
59,0.8838838838838838,0.12612612612612611,0.5555555555555556,0.5060422960725075
60,0.3283283283283283,0.006006006006006006,0.4444444444444444,0.1661631419939577
61,0.4024024024024024,0.6936936936936937,0.6666666666666666,0.5493454179254783
62,0.5775775775775776,0.8568568568568569,0.2222222222222222,0.7195367573011078
63,0.33933933933933935,0.12912912912912913,0.6666666666666666,0.23363544813695872
64,0.5535535535535535,0.2222222222222222,1.0,0.38821752265861026
65,0.2772772772772773,0.7707707707707707,0.0,0.5251762336354482
66,0.5935935935935935,0.6696696696696697,0.7777777777777778,0.6334340382678751
67,0.8788788788788788,0.9119119119119119,0.8888888888888888,0.8987915407854985
68,0.997997997997998,0.3813813813813814,0.0,0.6918429003021148
69,0.988988988988989,0.9109109109109109,0.0,0.9536757301107754
70,0.3183183183183183,0.5285285285285285,0.5555555555555556,0.42396777442094663
71,0.3733733733733734,0.6036036036036037,0.6666666666666666,0.48942598187311176
72,0.09109109109109109,0.24724724724724725,0.8888888888888888,0.16817724068479356
73,0.6026026026026026,0.48848848848848847,0.0,0.5468277945619335
74,0.24724724724724725,0.6206206206206206,0.8888888888888888,0.43454179254783487
75,0.03203203203203203,0.7007007007007007,1.0,0.36656596173212486
76,0.5295295295295295,0.6326326326326326,0.8888888888888888,0.5825780463242699
77,0.36536536536536535,0.928928928928929,0.2222222222222222,0.649043303121853
78,0.10810810810810811,0.8928928928928929,0.3333333333333333,0.5015105740181269
79,0.1881881881881882,0.08408408408408409,0.0,0.13494461228600202
80,0.23423423423423423,0.5755755755755756,0.3333333333333333,0.405337361530715
81,0.03403403403403404,0.2042042042042042,0.3333333333333333,0.11782477341389729
82,0.6826826826826827,0.7757757757757757,0.7777777777777778,0.7316213494461229
83,0.3163163163163163,0.987987987987988,0.1111111111111111,0.6540785498489426
84,0.4494494494494494,0.3053053053053053,0.7777777777777778,0.3776435045317221
85,0.07207207207207207,0.6556556556556556,0.0,0.3640483383685801
86,0.9619619619619619,0.002002002002002002,1.0,0.4828801611278953
87,0.7677677677677678,0.15815815815815815,0.0,0.4637462235649547
88,0.5935935935935935,0.9179179179179179,0.4444444444444444,0.7583081570996979
89,0.8268268268268268,0.4134134134134134,0.1111111111111111,0.621852970795569
90,0.7547547547547547,0.4894894894894895,0.4444444444444444,0.6238670694864048
91,0.7237237237237237,0.044044044044044044,0.8888888888888888,0.38418932527693855
92,0.6096096096096096,0.3833833833833834,0.8888888888888888,0.49748237663645517
93,0.8038038038038038,0.9229229229229229,0.7777777777777778,0.8665659617321249
94,0.3203203203203203,0.7667667667667668,0.8888888888888888,0.5448136958710977
95,0.6546546546546547,0.34934934934934936,0.5555555555555556,0.5030211480362538
96,0.36536536536536535,0.7947947947947948,0.4444444444444444,0.581570996978852
97,0.30430430430430433,0.3813813813813814,0.7777777777777778,0.3429003021148036
